# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity
# Coated with Aluminum on 2017-10-20
# Opened the vacuum chamber on 2017-11-21
# Measured with Subaru Portable Spectrophotometer (SPS) on 2018-08-15 (299 days after)
# Measured four times at around the position 3
# Data between 950 nm and 1650 nm are also available (SPS-XWW).
# Contact: Hirofumi Okita (okita14@naoj.org)
#
# Wavelength (nm)	Pos.3 #1	Pos.3 #2	Pos.3 #3	Pos.3 #4
1000 	90.65 	91.35 	91.13 	91.43
998 	91.36 	92.90 	91.56 	92.14
996 	91.59 	91.80 	90.51 	92.38
994 	91.89 	91.43 	91.89 	91.77
992 	91.75 	91.76 	91.49 	90.54
990 	91.51 	91.04 	91.28 	92.40
988 	91.44 	91.60 	91.52 	91.61
986 	91.29 	91.63 	91.32 	91.32
984 	91.85 	91.17 	91.68 	91.27
982 	91.49 	91.41 	91.02 	91.54
980 	91.50 	91.11 	93.03 	91.16
978 	91.41 	90.50 	91.93 	91.47
976 	91.30 	91.05 	91.22 	91.58
974 	91.49 	91.29 	90.81 	91.39
972 	90.55 	91.79 	91.50 	90.85
970 	90.74 	90.71 	90.66 	90.46
968 	90.45 	91.02 	91.43 	91.56
966 	91.13 	90.77 	90.89 	90.64
964 	91.37 	90.70 	91.05 	90.83
962 	90.84 	91.01 	91.29 	91.07
960 	91.11 	91.31 	90.67 	90.98
958 	90.60 	90.64 	90.62 	90.77
956 	90.24 	90.84 	90.86 	90.17
954 	90.53 	91.07 	90.49 	90.19
952 	90.35 	90.58 	90.72 	90.29
950 	90.79 	90.55 	90.31 	90.83
948 	90.18 	89.96 	89.81 	90.25
946 	90.83 	89.97 	90.74 	90.13
944 	90.07 	89.79 	90.61 	90.17
942 	89.79 	90.01 	90.38 	90.00
940 	89.81 	90.24 	90.37 	89.89
938 	89.58 	89.90 	89.95 	90.22
936 	89.81 	90.19 	89.99 	89.45
934 	90.04 	89.79 	90.05 	89.38
932 	89.91 	89.89 	89.97 	89.33
930 	89.59 	89.63 	89.95 	89.64
928 	89.40 	89.43 	89.44 	89.37
926 	89.01 	89.00 	89.53 	89.48
924 	89.20 	89.14 	89.35 	89.32
922 	89.09 	89.00 	89.86 	89.18
920 	88.87 	89.01 	89.69 	89.13
918 	88.94 	88.89 	89.16 	89.15
916 	88.68 	88.90 	88.88 	88.67
914 	88.90 	88.58 	89.00 	88.62
912 	88.29 	88.68 	88.65 	88.27
910 	88.21 	88.46 	88.18 	88.37
908 	88.01 	88.71 	88.52 	88.08
906 	88.09 	88.08 	88.50 	88.41
904 	88.16 	88.06 	87.91 	87.97
902 	87.90 	87.75 	88.40 	88.22
900 	87.84 	87.82 	87.56 	88.03
898 	87.31 	87.58 	87.54 	87.65
896 	87.68 	87.73 	87.59 	87.23
894 	87.45 	87.31 	87.59 	87.48
892 	87.35 	87.33 	87.22 	87.63
890 	86.76 	87.08 	86.93 	86.95
888 	87.08 	86.97 	87.23 	86.91
886 	86.87 	86.85 	86.83 	87.04
884 	86.76 	86.77 	86.68 	86.66
882 	86.88 	86.44 	87.05 	86.52
880 	86.38 	86.91 	86.50 	86.37
878 	86.44 	85.89 	86.26 	85.79
876 	85.94 	85.94 	86.27 	86.09
874 	86.03 	85.84 	86.15 	85.74
872 	85.97 	85.52 	85.77 	85.91
870 	85.52 	85.68 	85.72 	85.99
868 	85.56 	85.48 	85.68 	85.44
866 	85.27 	85.36 	85.37 	85.46
864 	85.01 	85.28 	85.40 	85.59
862 	85.01 	85.40 	85.18 	84.96
860 	85.15 	85.19 	85.22 	84.82
858 	84.93 	84.77 	85.09 	84.90
856 	85.03 	84.63 	84.89 	84.62
854 	84.90 	84.96 	84.75 	84.60
852 	84.81 	84.39 	84.28 	84.65
850 	84.82 	84.55 	84.11 	84.43
848 	84.50 	84.32 	84.32 	84.35
846 	84.26 	83.91 	84.42 	83.98
844 	84.16 	84.25 	84.31 	84.56
842 	84.01 	83.83 	84.48 	84.12
840 	83.84 	83.85 	83.97 	83.99
838 	83.65 	84.18 	83.88 	83.81
836 	83.80 	83.60 	84.20 	83.72
834 	84.02 	84.02 	84.18 	83.83
832 	83.83 	83.73 	84.41 	84.01
830 	83.95 	83.93 	83.84 	83.94
828 	83.79 	83.89 	83.62 	83.73
826 	83.89 	83.66 	83.78 	83.80
824 	83.83 	83.68 	83.45 	83.88
822 	84.06 	83.22 	83.90 	83.71
820 	83.99 	83.75 	83.80 	83.52
818 	83.82 	83.74 	83.96 	84.17
816 	83.78 	83.70 	83.94 	83.77
814 	83.62 	83.78 	84.21 	83.69
812 	83.77 	83.70 	83.69 	84.13
810 	83.52 	83.88 	84.39 	83.97
808 	83.85 	84.18 	83.98 	83.72
806 	84.24 	84.09 	84.04 	83.78
