# Subaru Telescope Primary Mirror In-Situ Measured Reflectivity
# Coated with Aluminum on 2017-10-20
# Opened the vacuum chamber on 2017-11-21
# Measured with Subaru Portable Spectrophotometer (SPS) on 2018-12-21 (427 days after)
# Measured four times at around the position 3
# Data between 950 nm and 1650 nm are also available (SPS-XWW).
# Contact: Hirofumi Okita (okita14@naoj.org)
#
# Wavelength (nm)	Pos.3 #1	Pos.3 #2	Pos.3 #3	Pos.3 #4
1000	89.58	89.75	91.05	90.79
998	89.70	90.33	91.32	90.62
996	89.88	88.66	90.76	89.61
994	89.68	90.03	90.39	90.17
992	90.60	90.16	89.83	90.26
990	89.90	89.68	89.67	89.94
988	89.90	89.82	89.92	90.37
986	90.16	89.78	89.45	90.03
984	89.27	90.29	90.52	89.44
982	89.77	90.28	89.48	90.06
980	90.25	89.58	89.83	89.57
978	89.70	88.81	89.78	90.13
976	89.40	90.06	90.18	90.25
974	89.61	89.58	88.93	89.51
972	89.38	89.25	89.63	89.63
970	89.60	89.97	90.06	90.17
968	89.27	89.34	88.82	89.34
966	89.70	89.61	89.69	89.21
964	90.19	89.80	89.28	89.06
962	89.76	88.76	89.15	89.33
960	88.82	89.04	88.85	89.08
958	89.35	88.44	89.62	88.91
956	88.89	89.08	88.34	89.51
954	88.70	89.39	88.48	88.98
952	89.08	88.52	89.30	88.30
950	88.92	88.26	88.59	88.90
948	88.42	88.80	88.88	88.78
946	88.63	88.51	89.10	88.89
944	88.25	88.22	89.27	88.74
942	88.32	87.82	88.35	89.04
940	88.63	88.14	88.42	88.31
938	87.89	88.11	88.65	88.05
936	88.23	88.13	88.17	87.13
934	87.91	87.90	88.18	88.31
932	88.05	88.11	87.83	87.92
930	88.05	87.76	88.21	88.19
928	87.38	88.07	87.66	88.43
926	87.52	87.57	87.91	87.85
924	87.68	87.28	87.34	87.82
922	87.54	87.73	87.53	87.88
920	88.05	87.83	87.42	87.47
918	87.30	87.44	87.36	87.42
916	87.35	87.08	87.30	87.22
914	86.69	87.02	87.29	87.03
912	87.00	86.95	87.27	86.61
910	87.03	86.42	87.04	87.18
908	87.11	86.34	86.98	86.94
906	86.63	86.48	86.69	86.55
904	86.27	85.84	86.55	86.40
902	86.51	85.69	86.03	86.43
900	85.97	86.34	86.18	86.58
898	86.34	86.02	86.25	86.03
896	86.28	86.35	85.96	85.96
894	85.29	85.55	85.73	86.07
892	85.66	85.60	85.66	85.68
890	85.56	85.64	85.47	85.51
888	85.58	85.20	85.38	85.27
886	84.95	85.06	85.37	85.38
884	85.25	85.13	85.01	85.28
882	84.81	84.82	85.33	84.93
880	84.47	84.67	84.79	84.67
878	84.36	84.37	84.84	84.52
876	84.39	84.32	84.73	84.54
874	84.16	84.09	84.25	84.67
872	84.29	83.95	84.20	84.06
870	83.79	83.75	84.13	83.83
868	83.74	83.56	83.98	83.89
866	83.55	83.75	83.60	83.65
864	83.54	83.40	83.44	83.84
862	83.26	83.34	83.42	83.45
860	83.23	83.34	83.42	83.21
858	83.38	83.05	83.14	83.44
856	82.96	82.93	82.82	82.98
854	82.97	83.03	83.08	83.07
852	82.76	83.04	82.82	82.98
850	82.72	82.55	82.81	82.67
848	82.34	82.37	82.99	82.74
846	82.21	82.70	82.49	82.73
844	82.49	82.57	82.95	82.26
842	82.49	82.03	82.64	82.52
840	82.20	81.95	82.50	82.69
838	82.30	82.22	82.46	82.12
836	82.02	82.10	82.25	81.84
834	82.17	81.79	82.35	82.11
832	81.95	81.78	81.86	82.39
830	81.69	81.34	82.46	82.30
828	81.83	81.75	82.36	82.08
826	81.81	82.08	82.63	82.32
824	81.85	81.82	82.19	82.26
822	81.94	81.97	82.02	82.01
820	82.09	82.15	82.08	82.19
818	82.19	82.15	81.85	82.44
816	82.28	81.82	81.86	81.92
814	81.74	81.86	81.74	82.34
812	82.20	81.76	82.44	82.36
810	82.08	81.94	82.41	81.81
808	82.03	82.05	82.10	82.13
806	81.90	81.81	82.19	82.32
804	82.14	82.07	82.44	82.45
802	82.42	82.18	82.22	82.56
800	82.44	82.34	82.06	82.65
798	82.08	81.89	82.91	82.29
796	82.38	82.53	82.50	82.56
794	82.25	82.39	82.60	82.43
792	82.69	82.33	82.66	82.43
790	82.44	82.84	82.74	82.76
788	82.34	82.80	82.59	82.57
786	82.91	82.67	82.80	82.76
784	82.97	82.43	83.02	82.59
782	82.89	82.59	83.14	82.96
780	82.97	82.69	83.48	83.26
778	82.80	82.84	83.22	83.27
776	83.11	83.19	83.24	83.45
774	82.99	82.81	83.49	83.16
772	83.13	82.93	83.36	83.34
770	83.12	83.27	83.48	83.41
